   ; * ; / ; + ; - ; == ; != ; < ; > ; <= ; >= ; i ; ( ; ) ; $
 =============================================================
 * ; > ; > ; > ; > ; >  ; >  ; > ; > ; >  ; >  ; < ; < ; > ; >
 / ; > ; > ; > ; > ; >  ; >  ; > ; > ; >  ; >  ; < ; < ; > ; >
 + ; < ; < ; > ; > ; >  ; >  ; > ; > ; >  ; >  ; < ; < ; > ; >
 - ; < ; < ; > ; > ; >  ; >  ; > ; > ; >  ; >  ; < ; < ; > ; >
 ==; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 !=; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 < ; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 > ; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 <=; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 >=; < ; < ; < ; < ;    ;    ;   ;   ;    ;    ; < ; < ; > ; >
 i ; > ; > ; > ; > ; >  ; >  ; > ; > ; >  ; >  ;   ;   ; > ; >
 ( ; < ; < ; < ; < ; <  ; <  ; < ; < ; <  ; <  ; < ; < ; = ;  
 ) ; > ; > ; > ; > ; >  ; >  ; > ; > ; >  ; >  ;   ;   ; > ; >
 $ ; < ; < ; < ; < ; <  ; <  ; < ; < ; <  ; <  ; < ; < ;   ;  
